PERSON_ID,DISPLAY_FIRST_LAST,FROM_YEAR,TEAM_ID,TEAM_NAME,HEIGHT,WEIGHT
101106,Andrew Bogut,2005,1610612749,Bucks,7-0,260
203076,Anthony Davis,2012,1610612747,Lakers,6-10,253
2571,Leandro Barbosa,2003,1610612756,Suns,6-3,194
201582,Alexis Ajinca,2008,1610612740,Pelicans,7-2,248
203105,Festus Ezeli,2012,1610612744,Warriors,6-11,265
2200,Pau Gasol,2001,1610612747,Lakers,7-0,250
202389,Timofey Mozgov,2010,1610612743,Nuggets,7-1,275
201143,Al Horford,2007,1610612738,Celtics,6-9,240
203083,Andre Drummond,2012,1610612751,Nets,6-10,279
200794,Paul Millsap,2006,1610612755,76ers,6-7,257
203382,Aron Baynes,2012,1610612765,Pistons,6-10,260
202704,Reggie Jackson,2011,1610612746,Clippers,6-2,208
201579,Roy Hibbert,2008,1610612754,Pacers,7-2,270
1626157,Karl-Anthony Towns,2015,1610612750,Timberwolves,6-11,248
203944,Julius Randle,2014,1610612752,Knicks,6-8,250
201937,Ricky Rubio,2011,1610612754,Pacers,6-2,190
2199,Tyson Chandler,2001,1610612752,Knicks,7-0,235
2585,Zaza Pachulia,2003,1610612737,Hawks,6-11,270
201572,Brook Lopez,2008,1610612749,Bucks,7-0,282
203092,Tyler Zeller,2012,1610612738,Celtics,6-11,250
203457,Nerlens Noel,2013,1610612752,Knicks,6-11,220
202738,Isaiah Thomas,2011,0,,5-9,185
203924,Jerami Grant,2014,1610612765,Pistons,6-8,210
202323,Evan Turner,2010,1610612755,76ers,6-6,220
1626143,Jahlil Okafor,2015,1610612755,76ers,6-10,270
202696,Nikola Vucevic,2011,1610612741,Bulls,6-10,260
101162,Marcin Gortat,2007,0,,6-11,240
2743,Kris Humphries,2004,1610612751,Nets,6-9,235
203991,Clint Capela,2014,1610612737,Hawks,6-10,256
203530,Joffrey Lauvergne,2014,1610612743,Nuggets,6-11,260
1891,Jason Terry,1999,1610612742,Mavericks,6-2,185
1626144,Emmanuel Mudiay,2015,0,,6-3,200
202355,Hassan Whiteside,2010,1610612762,Jazz,7-0,265
2744,Al Jefferson,2004,1610612762,Jazz,6-10,280
203497,Rudy Gobert,2013,1610612762,Jazz,7-1,258
202328,Greg Monroe,2010,0,,6-10,250
201577,Robin Lopez,2008,1610612753,Magic,7-0,281
203486,Mason Plumlee,2013,1610612766,Hornets,6-11,254
202329,Al-Farouq Aminu,2010,1610612757,Trail Blazers,6-8,220
201585,Kosta Koufos,2008,1610612758,Kings,7-0,245
201599,DeAndre Jordan,2008,1610612747,Lakers,6-11,265
202326,DeMarcus Cousins,2010,0,,6-10,270
101108,Chris Paul,2005,1610612756,Suns,6-0,175
202685,Jonas Valanciunas,2012,1610612740,Pelicans,6-11,265
101133,Ian Mahinmi,2007,1610612754,Pacers,6-11,262
201188,Marc Gasol,2008,1610612763,Grizzlies,6-11,255
203893,Russ Smith,2014,0,,6-0,165
203099,Jared Cunningham,2012,0,,6-4,195
203500,Steven Adams,2013,1610612763,Grizzlies,6-11,265
1495,Tim Duncan,1997,1610612759,Spurs,6-11,250
204038,Langston Galloway,2014,0,,6-1,200
